merging_variable,country,leader,party,lr,president,term,startofterm,yearbegin,endofterm,yearend,speechtype,speechnum,codernum,rubricgrade,averagerubric,totalaverage,wb_region,region
Albania_Berisha_International_2.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,2,2009-06-28,2009,2013-06-23,2013,Famous,4,1,0,0,0.125,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Famous_2.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,2,2009-06-28,2009,2013-06-23,2013,Famous,4,2,0,0,0.125,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Famous_2.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,2,2009-06-28,2009,2013-06-23,2013,Famous,4,3,NA,0,0.125,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Famous_2.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,2,2009-06-28,2009,2013-06-23,2013,Famous,4,4,NA,0,0.125,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Campaign_1.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,1,2005-09-11,2005,2009-06-28,2009,Campaign,1,1,0,0,0,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Campaign_1.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,1,2005-09-11,2005,2009-06-28,2009,Campaign,1,2,0,0,0,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Campaign_1.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,1,2005-09-11,2005,2009-06-28,2009,Campaign,1,3,NA,0,0,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Campaign_1.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,1,2005-09-11,2005,2009-06-28,2009,Campaign,1,4,NA,0,0,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Ribbon_1.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,1,2005-09-11,2005,2009-06-28,2009,Ribbon cutting,2,1,0,0,0,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Ribbon_1.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,1,2005-09-11,2005,2009-06-28,2009,Ribbon cutting,2,2,0,0,0,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Ribbon_1.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,1,2005-09-11,2005,2009-06-28,2009,Ribbon cutting,2,3,NA,0,0,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Ribbon_1.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,1,2005-09-11,2005,2009-06-28,2009,Ribbon cutting,2,4,NA,0,0,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_International_1.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,1,2005-09-11,2005,2009-06-28,2009,International,3,1,0,0,0,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_International_1.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,1,2005-09-11,2005,2009-06-28,2009,International,3,2,0,0,0,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_International_1.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,1,2005-09-11,2005,2009-06-28,2009,International,3,3,NA,0,0,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_International_1.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,1,2005-09-11,2005,2009-06-28,2009,International,3,4,NA,0,0,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Famous_1.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,1,2005-09-11,2005,2009-06-28,2009,Famous,4,1,0,0,0,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Famous_1.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,1,2005-09-11,2005,2009-06-28,2009,Famous,4,2,0,0,0,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Famous_1.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,1,2005-09-11,2005,2009-06-28,2009,Famous,4,3,NA,0,0,Europe & Central Asia,Central and Eastern Europe
Albania_Berisha_Famous_1.txt,Albania,Sali Berisha,Democratic Party of Albania,0,0,1,2005-09-11,2005,2009-06-28,2009,Famous,4,4,NA,0,0,Europe & Central Asia,Central and Eastern Europe
,Albania,Edi Rama,Socialist Party of Albania,-1,0,1,2013-06-23,2013,2017-09-10,2017,Campaign,1,1,0.5,0.45,0.1375,Europe & Central Asia,Central and Eastern Europe
,Albania,Edi Rama,Socialist Party of Albania,-1,0,1,2013-06-23,2013,2017-09-10,2017,Campaign,1,2,0.4,0.45,0.1375,Europe & Central Asia,Central and Eastern Europe
,Albania,Edi Rama,Socialist Party of Albania,-1,0,1,2013-06-23,2013,2017-09-10,2017,Campaign,1,3,NA,0.45,0.1375,Europe & Central Asia,Central and Eastern Europe
,Albania,Edi Rama,Socialist Party of Albania,-1,0,1,2013-06-23,2013,2017-09-10,2017,Campaign,1,4,NA,0.45,0.1375,Europe & Central Asia,Central and Eastern Europe
Albania_Rama_Ribbon_1.txt,Albania,Edi Rama,Socialist Party of Albania,-1,0,1,2013-06-23,2013,2017-09-10,2017,Ribbon cutting,2,1,0,0,0.1375,Europe & Central Asia,Central and Eastern Europe
Albania_Rama_Ribbon_1.txt,Albania,Edi Rama,Socialist Party of Albania,-1,0,1,2013-06-23,2013,2017-09-10,2017,Ribbon cutting,2,2,0,0,0.1375,Europe & Central Asia,Central and Eastern Europe
Albania_Rama_Ribbon_1.txt,Albania,Edi Rama,Socialist Party of Albania,-1,0,1,2013-06-23,2013,2017-09-10,2017,Ribbon cutting,2,3,NA,0,0.1375,Europe & Central Asia,Central and Eastern Europe
Albania_Rama_Ribbon_1.txt,Albania,Edi Rama,Socialist Party of Albania,-1,0,1,2013-06-23,2013,2017-09-10,2017,Ribbon cutting,2,4,NA,0,0.1375,Europe & Central Asia,Central and Eastern Europe
Albania_Rama_International_1.txt,Albania,Edi Rama,Socialist Party of Albania,-1,0,1,2013-06-23,2013,2017-09-10,2017,International,3,1,0,0,0.1375,Europe & Central Asia,Central and Eastern Europe
Albania_Rama_International_1.txt,Albania,Edi Rama,Socialist Party of Albania,-1,0,1,2013-06-23,2013,2017-09-10,2017,International,3,2,0,0,0.1375,Europe & Central Asia,Central and Eastern Europe
Albania_Rama_International_1.txt,Albania,Edi Rama,Socialist Party of Albania,-1,0,1,2013-06-23,2013,2017-09-10,2017,International,3,3,NA,0,0.1375,Europe & Central Asia,Central and Eastern Europe
Albania_Rama_International_1.txt,Albania,Edi Rama,Socialist Party of Albania,-1,0,1,2013-06-23,2013,2017-09-10,2017,International,3,4,NA,0,0.1375,Europe & Central Asia,Central and Eastern Europe
Albania_Rama_Famous_1.txt,Albania,Edi Rama,Socialist Party of Albania,-1,0,1,2013-06-23,2013,2017-09-10,2017,Famous,4,1,0.2,0.1,0.1375,Europe & Central Asia,Central and Eastern Europe
Albania_Rama_Famous_1.txt,Albania,Edi Rama,Socialist Party of Albania,-1,0,1,2013-06-23,2013,2017-09-10,2017,Famous,4,2,0,0.1,0.1375,Europe & Central Asia,Central and Eastern Europe
Albania_Rama_Famous_1.txt,Albania,Edi Rama,Socialist Party of Albania,-1,0,1,2013-06-23,2013,2017-09-10,2017,Famous,4,3,NA,0.1,0.1375,Europe & Central Asia,Central and Eastern Europe
Albania_Rama_Famous_1.txt,Albania,Edi Rama,Socialist Party of Albania,-1,0,1,2013-06-23,2013,2017-09-10,2017,Famous,4,4,NA,0.1,0.1375,Europe & Central Asia,Central and Eastern Europe
Argentina_Fernandez_Campaign_1.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,1,2007-12-10,2008,2011-10-23,2011,Campaign,1,1,0,0,0,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Campaign_1.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,1,2007-12-10,2008,2011-10-23,2011,Campaign,1,2,0,0,0,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Campaign_1.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,1,2007-12-10,2008,2011-10-23,2011,Campaign,1,3,NA,0,0,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Campaign_1.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,1,2007-12-10,2008,2011-10-23,2011,Campaign,1,4,NA,0,0,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Ribbon_1.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,1,2007-12-10,2008,2011-10-23,2011,Ribbon cutting,2,1,0,0,0,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Ribbon_1.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,1,2007-12-10,2008,2011-10-23,2011,Ribbon cutting,2,2,0,0,0,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Ribbon_1.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,1,2007-12-10,2008,2011-10-23,2011,Ribbon cutting,2,3,NA,0,0,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Ribbon_1.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,1,2007-12-10,2008,2011-10-23,2011,Ribbon cutting,2,4,NA,0,0,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_International_1.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,1,2007-12-10,2008,2011-10-23,2011,International,3,1,0,0,0,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_International_1.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,1,2007-12-10,2008,2011-10-23,2011,International,3,2,0,0,0,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_International_1.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,1,2007-12-10,2008,2011-10-23,2011,International,3,3,NA,0,0,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_International_1.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,1,2007-12-10,2008,2011-10-23,2011,International,3,4,NA,0,0,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Famous_1.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,1,2007-12-10,2008,2011-10-23,2011,Famous,4,1,0,0,0,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Famous_1.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,1,2007-12-10,2008,2011-10-23,2011,Famous,4,2,0,0,0,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Famous_1.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,1,2007-12-10,2008,2011-10-23,2011,Famous,4,3,NA,0,0,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Famous_1.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,1,2007-12-10,2008,2011-10-23,2011,Famous,4,4,NA,0,0,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Campaign_2.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,2,2011-10-23,2011,2015-12-09,2015,Campaign,1,1,0,0,0.1875,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Campaign_2.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,2,2011-10-23,2011,2015-12-09,2015,Campaign,1,2,NA,0,0.1875,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Campaign_2.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,2,2011-10-23,2011,2015-12-09,2015,Campaign,1,3,NA,0,0.1875,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Campaign_2.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,2,2011-10-23,2011,2015-12-09,2015,Campaign,1,4,NA,0,0.1875,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Ribbon_2.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,2,2011-10-23,2011,2015-12-09,2015,Ribbon cutting,2,1,0,0,0.1875,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Ribbon_2.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,2,2011-10-23,2011,2015-12-09,2015,Ribbon cutting,2,2,0,0,0.1875,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Ribbon_2.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,2,2011-10-23,2011,2015-12-09,2015,Ribbon cutting,2,3,NA,0,0.1875,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Ribbon_2.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,2,2011-10-23,2011,2015-12-09,2015,Ribbon cutting,2,4,NA,0,0.1875,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_International_2.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,2,2011-10-23,2011,2015-12-09,2015,International,3,1,1,0.5,0.1875,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_International_2.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,2,2011-10-23,2011,2015-12-09,2015,International,3,2,0,0.5,0.1875,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_International_2.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,2,2011-10-23,2011,2015-12-09,2015,International,3,3,NA,0.5,0.1875,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_International_2.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,2,2011-10-23,2011,2015-12-09,2015,International,3,4,NA,0.5,0.1875,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Famous_2.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,2,2011-10-23,2011,2015-12-09,2015,Famous,4,1,0,0.25,0.1875,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Famous_2.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,2,2011-10-23,2011,2015-12-09,2015,Famous,4,2,1,0.25,0.1875,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Famous_2.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,2,2011-10-23,2011,2015-12-09,2015,Famous,4,3,0,0.25,0.1875,Latin America & Caribbean,Latin America & Caribbean
Argentina_Fernandez_Famous_2.txt,Argentina,Cristina Fernandez,Front for Victory,-1,1,2,2011-10-23,2011,2015-12-09,2015,Famous,4,4,0,0.25,0.1875,Latin America & Caribbean,Latin America & Caribbean
Argentina_Duhalde_Campaign_1.txt,Argentina,Eduardo Duhalde,Justicialist Party,0,1,1,2002-01-02,2002,2003-05-25,2003,Campaign,1,1,0.2,0.15,0.533333333333333,Latin America & Caribbean,Latin America & Caribbean
Argentina_Duhalde_Campaign_1.txt,Argentina,Eduardo Duhalde,Justicialist Party,0,1,1,2002-01-02,2002,2003-05-25,2003,Campaign,1,2,0.1,0.15,0.533333333333333,Latin America & Caribbean,Latin America & Caribbean
Argentina_Duhalde_Campaign_1.txt,Argentina,Eduardo Duhalde,Justicialist Party,0,1,1,2002-01-02,2002,2003-05-25,2003,Campaign,1,3,NA,0.15,0.533333333333333,Latin America & Caribbean,Latin America & Caribbean
Argentina_Duhalde_Campaign_1.txt,Argentina,Eduardo Duhalde,Justicialist Party,0,1,1,2002-01-02,2002,2003-05-25,2003,Campaign,1,4,NA,0.15,0.533333333333333,Latin America & Caribbean,Latin America & Caribbean
Argentina_Duhalde_Ribbon_1.txt,Argentina,Eduardo Duhalde,Justicialist Party,0,1,1,2002-01-02,2002,2003-05-25,2003,Ribbon cutting,2,1,0.4,0.6,0.533333333333333,Latin America & Caribbean,Latin America & Caribbean
Argentina_Duhalde_Ribbon_1.txt,Argentina,Eduardo Duhalde,Justicialist Party,0,1,1,2002-01-02,2002,2003-05-25,2003,Ribbon cutting,2,2,0.8,0.6,0.533333333333333,Latin America & Caribbean,Latin America & Caribbean
Argentina_Duhalde_Ribbon_1.txt,Argentina,Eduardo Duhalde,Justicialist Party,0,1,1,2002-01-02,2002,2003-05-25,2003,Ribbon cutting,2,3,NA,0.6,0.533333333333333,Latin America & Caribbean,Latin America & Caribbean
Argentina_Duhalde_Ribbon_1.txt,Argentina,Eduardo Duhalde,Justicialist Party,0,1,1,2002-01-02,2002,2003-05-25,2003,Ribbon cutting,2,4,NA,0.6,0.533333333333333,Latin America & Caribbean,Latin America & Caribbean
Argentina_Duhalde_Famous_1.txt,Argentina,Eduardo Duhalde,Justicialist Party,0,1,1,2002-01-02,2002,2003-05-25,2003,Famous,4,1,1,0.85,0.533333333333333,Latin America & Caribbean,Latin America & Caribbean
Argentina_Duhalde_Famous_1.txt,Argentina,Eduardo Duhalde,Justicialist Party,0,1,1,2002-01-02,2002,2003-05-25,2003,Famous,4,2,0.7,0.85,0.533333333333333,Latin America & Caribbean,Latin America & Caribbean
Argentina_Duhalde_Famous_1.txt,Argentina,Eduardo Duhalde,Justicialist Party,0,1,1,2002-01-02,2002,2003-05-25,2003,Famous,4,3,NA,0.85,0.533333333333333,Latin America & Caribbean,Latin America & Caribbean
Argentina_Duhalde_Famous_1.txt,Argentina,Eduardo Duhalde,Justicialist Party,0,1,1,2002-01-02,2002,2003-05-25,2003,Famous,4,4,NA,0.85,0.533333333333333,Latin America & Caribbean,Latin America & Caribbean
Argentina_de la Rua_Campaign_1.txt,Argentina,Fernando de la Rua,Radical Civic Union,-1,1,1,1999-12-10,1999,2001-12-21,2001,Campaign,1,1,0.9,0.65,0.175,Latin America & Caribbean,Latin America & Caribbean
Argentina_de la Rua_Campaign_1.txt,Argentina,Fernando de la Rua,Radical Civic Union,-1,1,1,1999-12-10,1999,2001-12-21,2001,Campaign,1,2,0.4,0.65,0.175,Latin America & Caribbean,Latin America & Caribbean
Argentina_de la Rua_Campaign_1.txt,Argentina,Fernando de la Rua,Radical Civic Union,-1,1,1,1999-12-10,1999,2001-12-21,2001,Campaign,1,3,NA,0.65,0.175,Latin America & Caribbean,Latin America & Caribbean
Argentina_de la Rua_Campaign_1.txt,Argentina,Fernando de la Rua,Radical Civic Union,-1,1,1,1999-12-10,1999,2001-12-21,2001,Campaign,1,4,NA,0.65,0.175,Latin America & Caribbean,Latin America & Caribbean
Argentina_de la Rua_Ribbon_1.txt,Argentina,Fernando de la Rua,Radical Civic Union,-1,1,1,1999-12-10,1999,2001-12-21,2001,Ribbon cutting,2,1,0,0,0.175,Latin America & Caribbean,Latin America & Caribbean
Argentina_de la Rua_Ribbon_1.txt,Argentina,Fernando de la Rua,Radical Civic Union,-1,1,1,1999-12-10,1999,2001-12-21,2001,Ribbon cutting,2,2,0,0,0.175,Latin America & Caribbean,Latin America & Caribbean
Argentina_de la Rua_Ribbon_1.txt,Argentina,Fernando de la Rua,Radical Civic Union,-1,1,1,1999-12-10,1999,2001-12-21,2001,Ribbon cutting,2,3,NA,0,0.175,Latin America & Caribbean,Latin America & Caribbean
Argentina_de la Rua_Ribbon_1.txt,Argentina,Fernando de la Rua,Radical Civic Union,-1,1,1,1999-12-10,1999,2001-12-21,2001,Ribbon cutting,2,4,NA,0,0.175,Latin America & Caribbean,Latin America & Caribbean
Argentina_de la Rua_International_1.txt,Argentina,Fernando de la Rua,Radical Civic Union,-1,1,1,1999-12-10,1999,2001-12-21,2001,International,3,1,0,0,0.175,Latin America & Caribbean,Latin America & Caribbean
Argentina_de la Rua_International_1.txt,Argentina,Fernando de la Rua,Radical Civic Union,-1,1,1,1999-12-10,1999,2001-12-21,2001,International,3,2,0,0,0.175,Latin America & Caribbean,Latin America & Caribbean
Argentina_de la Rua_International_1.txt,Argentina,Fernando de la Rua,Radical Civic Union,-1,1,1,1999-12-10,1999,2001-12-21,2001,International,3,3,NA,0,0.175,Latin America & Caribbean,Latin America & Caribbean
Argentina_de la Rua_International_1.txt,Argentina,Fernando de la Rua,Radical Civic Union,-1,1,1,1999-12-10,1999,2001-12-21,2001,International,3,4,NA,0,0.175,Latin America & Caribbean,Latin America & Caribbean
Argentina_de la Rua_Famous_1.txt,Argentina,Fernando de la Rua,Radical Civic Union,-1,1,1,1999-12-10,1999,2001-12-21,2001,Famous,4,1,0,0.05,0.175,Latin America & Caribbean,Latin America & Caribbean
Argentina_de la Rua_Famous_1.txt,Argentina,Fernando de la Rua,Radical Civic Union,-1,1,1,1999-12-10,1999,2001-12-21,2001,Famous,4,2,0.1,0.05,0.175,Latin America & Caribbean,Latin America & Caribbean
Argentina_de la Rua_Famous_1.txt,Argentina,Fernando de la Rua,Radical Civic Union,-1,1,1,1999-12-10,1999,2001-12-21,2001,Famous,4,3,NA,0.05,0.175,Latin America & Caribbean,Latin America & Caribbean
Argentina_de la Rua_Famous_1.txt,Argentina,Fernando de la Rua,Radical Civic Union,-1,1,1,1999-12-10,1999,2001-12-21,2001,Famous,4,4,NA,0.05,0.175,Latin America & Caribbean,Latin America & Caribbean
Argentina_Kirchner_Campaign_1.txt,Argentina,Nestor Kirchner,Front for Victory,-1,1,1,2003-05-25,2003,2007-12-10,2007,Campaign,1,1,1,1,0.25,Latin America & Caribbean,Latin America & Caribbean
Argentina_Kirchner_Campaign_1.txt,Argentina,Nestor Kirchner,Front for Victory,-1,1,1,2003-05-25,2003,2007-12-10,2007,Campaign,1,2,0,1,0.25,Latin America & Caribbean,Latin America & Caribbean
Argentina_Kirchner_Campaign_1.txt,Argentina,Nestor Kirchner,Front for Victory,-1,1,1,2003-05-25,2003,2007-12-10,2007,Campaign,1,3,2,1,0.25,Latin America & Caribbean,Latin America & Caribbean
Argentina_Kirchner_Campaign_1.txt,Argentina,Nestor Kirchner,Front for Victory,-1,1,1,2003-05-25,2003,2007-12-10,2007,Campaign,1,4,NA,1,0.25,Latin America & Caribbean,Latin America & Caribbean
Argentina_Kirchner_Ribbon_1.txt,Argentina,Nestor Kirchner,Front for Victory,-1,1,1,2003-05-25,2003,2007-12-10,2007,Ribbon cutting,2,1,0,0,0.25,Latin America & Caribbean,Latin America & Caribbean
Argentina_Kirchner_Ribbon_1.txt,Argentina,Nestor Kirchner,Front for Victory,-1,1,1,2003-05-25,2003,2007-12-10,2007,Ribbon cutting,2,2,0,0,0.25,Latin America & Caribbean,Latin America & Caribbean
Argentina_Kirchner_Ribbon_1.txt,Argentina,Nestor Kirchner,Front for Victory,-1,1,1,2003-05-25,2003,2007-12-10,2007,Ribbon cutting,2,3,NA,0,0.25,Latin America & Caribbean,Latin America & Caribbean
Argentina_Kirchner_Ribbon_1.txt,Argentina,Nestor Kirchner,Front for Victory,-1,1,1,2003-05-25,2003,2007-12-10,2007,Ribbon cutting,2,4,NA,0,0.25,Latin America & Caribbean,Latin America & Caribbean
Argentina_Kirchner_International_1.txt,Argentina,Nestor Kirchner,Front for Victory,-1,1,1,2003-05-25,2003,2007-12-10,2007,International,3,1,0,0,0.25,Latin America & Caribbean,Latin America & Caribbean
Argentina_Kirchner_International_1.txt,Argentina,Nestor Kirchner,Front for Victory,-1,1,1,2003-05-25,2003,2007-12-10,2007,International,3,2,0,0,0.25,Latin America & Caribbean,Latin America & Caribbean
Argentina_Kirchner_International_1.txt,Argentina,Nestor Kirchner,Front for Victory,-1,1,1,2003-05-25,2003,2007-12-10,2007,International,3,3,NA,0,0.25,Latin America & Caribbean,Latin America & Caribbean
Argentina_Kirchner_International_1.txt,Argentina,Nestor Kirchner,Front for Victory,-1,1,1,2003-05-25,2003,2007-12-10,2007,International,3,4,NA,0,0.25,Latin America & Caribbean,Latin America & Caribbean
Argentina_Kirchner_Famous_1.txt,Argentina,Nestor Kirchner,Front for Victory,-1,1,1,2003-05-25,2003,2007-12-10,2007,Famous,4,1,0,0,0.25,Latin America & Caribbean,Latin America & Caribbean
Argentina_Kirchner_Famous_1.txt,Argentina,Nestor Kirchner,Front for Victory,-1,1,1,2003-05-25,2003,2007-12-10,2007,Famous,4,2,0,0,0.25,Latin America & Caribbean,Latin America & Caribbean
Argentina_Kirchner_Famous_1.txt,Argentina,Nestor Kirchner,Front for Victory,-1,1,1,2003-05-25,2003,2007-12-10,2007,Famous,4,3,NA,0,0.25,Latin America & Caribbean,Latin America & Caribbean
Argentina_Kirchner_Famous_1.txt,Argentina,Nestor Kirchner,Front for Victory,-1,1,1,2003-05-25,2003,2007-12-10,2007,Famous,4,4,NA,0,0.25,Latin America & Caribbean,Latin America & Caribbean
Argentina_Macri_Campaign_1.txt,Argentina,Mauricio Macri,Republican Proposal,1,1,1,2015-12-10,2016,2019-12-10,2020,Campaign,1,1,0.2,0.1,0.0375,Latin America & Caribbean,Latin America & Caribbean
Argentina_Macri_Campaign_1.txt,Argentina,Mauricio Macri,Republican Proposal,1,1,1,2015-12-10,2016,2019-12-10,2020,Campaign,1,2,0,0.1,0.0375,Latin America & Caribbean,Latin America & Caribbean
Argentina_Macri_Campaign_1.txt,Argentina,Mauricio Macri,Republican Proposal,1,1,1,2015-12-10,2016,2019-12-10,2020,Campaign,1,3,NA,0.1,0.0375,Latin America & Caribbean,Latin America & Caribbean
