,essay_id,essay_id_comp,competition_set,full_text,holistic_essay_score,discourse_id,discourse_start,discourse_end,discourse_text,discourse_type,discourse_type_num,discourse_effectiveness,hierarchical_id,hierarchical_text,hierarchical_label,provider,task,source_text,prompt_name,assignment,gender,grade_level,ell_status,race_ethnicity,economically_disadvantaged,student_disability_status,essay_word_count
165535,AAAXMP138200002045752810_OR,E62935191079,train,"Do you ever ask more than one person if your hair looks good, or what you should do in a tough situation? Asking for more than just one person for advice comes naturally to us. Getting advice from lost of people help us get through some bad hair days or tough situations, like fights with your loved ones. Seeking advice from more than just one person is helpful for solving situations because it gives you different opinions, helps you figure out what opinions most people agree on, and what you might not want to do in certain situations.

Getting advice from more than just one person gives you a lot of opinions. Everyone has their own way to handle situations or problems. So some people's opinions can be very similar to yours or the complete opposite. This can open up your mind on not just one problem, but many more in the future. It can be as simple as what chips should I get? Your friend might say a chip flavor that you would never try in a million years, but you try it out and turns out you like it! This opens up your mind in situations and how to handle them in different ways.

Another thing you learn is what opinions most people have in common. You hear a lot of advice from people but some of advice can be extremely similar to each other. This can help you find a good way on how to fix situations. It shows what most people agree on, and usually that is what can help you solve your situation the best. You tend to use advice that most people agree on so asking multiple people help you with what to do in tough situations.

Lastly some of the advice you receive you just don't think fits you or the way you like to handle things so you ask more people. Say you have drama between you and someone else, someone you ask might say fight that person but that's not really the way you want to handle it. So instead you ask more people for what they think you should do. This can help bring your mind to how you want to fix a situation. Everyone handles situations differently so this will can give you ideas on what to do and what not to do.

Seeking advice from multiple help you in many ways such as, giving you different opinions, what opinions people agree most on, and what not to do in certain situations. This really helps you clear your mind on how to solve a problem correctly and how you want to solve it. It also can narrow down ways you could solve a conflict. No matter what at the end of the day you're in charge on how you'd like to solve a problem, so no matter what opinions people give you, you get to decide what fits you best.",4,1618320000000.0,0,305,"Do you ever ask more than one person if your hair looks good, or what you should do in a tough situation? Asking for more than just one person for advice comes naturally to us. Getting advice from lost of people help us get through some bad hair days or tough situations, like fights with your loved ones. ",Lead,Lead 1,Adequate,,,,Virginia,Independent,,Seeking multiple opinions,"When people ask for advice, they sometimes talk to more than one person. Explain why seeking multiple opinions can help someone make a better choice. Use specific details and examples in your response.",F,8.0,No,Asian/Pacific Islander,Not economically disadvantaged,Not identified as having disability,484
26935,AAAXMP138200002144662144_OR,C22959B3262C,train,"Students should have a summer project created by their teacher. Some students may not be able to come up with a idea for their project due to the lack of focus because summer has finally arrived. Students get things done quick and easy when the teachers design things because the students have the teacher directions on how to complete the assignment. When i was in middle school me, and majority of my classmates couldn't complete the summer project given from our teacher because it was student designed, and throughout that whole summer we coudn't complete and put in effort to the project because we could not think of anything, and also it was also summer at that time. The project should be teacher-designed so the students wont have a hard time completing the project and majority of students will have the project done.

Students will possibly get the project done quick because they will recieve good directions given from the teacher on the teacher-designed project. Some of the students may want to do a student-designed project because they feel that they will get it done in time and have came up with an idea. Why would some of the students choose student-design when some of the students may get it done but not all? students should choose teacher-designed so they wont have to struggle coming up with an idea for their project. so instead they can get get their project done quick and easy because their teacher gave them directions. The teacher would want all of his students to complete the project and also have a good summer so therefore i would choose teacher-designed. Students either that same week or that next week get the project done the month you received it so you wont have to worry about it later on in the summer.",3,1618460000000.0,828,975,Students will possibly get the project done quick because they will recieve good directions given from the teacher on the teacher-designed project. ,Claim,Claim 2,Adequate,1618460000000.0,Students should have a summer project created by their teacher.,Position,Virginia,Independent,,Summer projects,Some schools require students to complete summer projects to assure they continue learning during their break. Should these summer projects be teacher-designed or student-designed? Take a position on this question. Support your response with reasons and specific examples.,M,10.0,No,Black/African American,Economically disadvantaged,Not identified as having disability,304
87696,2171007795,B74852381DC0,train,"Dear Principal,

I would just like to say that I think what you plan on doing to the sports and other activities isn't fair to students. Students should be able to participate in any sport or activities if they have a passing grade, and a C average is on that grade scale. Most people who are in sports these days don't have a B average, they have a C average.

And if you close it off for any students that have lower than a B average you would losing most of your players. Unless it's your goal, to lose all of the schools sports players and activities participator's. And I don't think it is, or I hope it's not.

This school is based off of the sports teams and the grades, but without a sports team the school would go down in education. Not only will students stop trying to get good grades but there parents would start getting mad about their kids not being able to participate in any sports or activities. Yeah I mean if you want to mess up the school's education than that's up to you, but your only ruining things for the students and the school. And most students come to this school because of the sports teams.

So if you limit it for other people than those people would want to go to a different school, and trust me you would lose a bunch of people. And most people don't want to leave this school because they like it the way it is now and changing it wouldn't help make it a better place to learn. So all I'm really saying is that if you change the grade average to a B you would be losing a lot of things and students. I just hope that you see this letter as a guide for you to make the right decision and not make the wrong one when it comes time to decide. Thank you for your time.

Sincerely,

STUDENT_NAME",3,1617140000000.0,0,46,"Dear Principal,

I would just like to say that ",Unannotated,Unannotated 1,,,,,NCES,Independent,,Grades for extracurricular activities,"Your principal is considering changing school policy so that students may not participate in sports or other activities unless they have at least a grade B average. Many students have a grade C average. 
She would like to hear the students' views on this possible policy change. Write a letter to your principal arguing for or against requiring at least a grade B average to participate in sports or other activities. Be sure to support your arguments with specific reasons.",F,8.0,No,White,Economically disadvantaged,Not identified as having disability,329
67624,AAAOPP13416000071669,08B30422667D,train,"As you know, as a scientist we come across many misunderstandings. The ""Face"" on Mars is one of them. This landform was created by natural causes; saying that it was created by a differrent lifeform is irrelavent. It's irrelavent because NASA would have a higher budget than we do now to explore further, if you take a look at the pictures the three are very distinct, and the third photo didn't show any other landforms, pyramids, houses, or lifeforms.

NASA's budget is assgined to them by the new discoveries they find in outter space. If there were alien life on planet Mars we would've told the public, federal government, etc. because we want that extra money to discover more about it. Why would just hold on to that secret. We took a pictures of the landforms lets see how they turned out.

As we compare the pictures of the same landform there are many differences. The 01' picture we took has multiple cracks and craters in the monument. I'm pretty sure the aliens wouldn't bulid a monument some place it could get beat up at. The 76' and 98' pictures were captured with not too good of a camera, causing it to have the appearance of a face.

In 2001, we had created a camera with the highest camera quality we were able to obtain. We researched and studied on the camera itself to see that each pixel was 1.56 meters instead of 43 like the other cameras. We came to the conclusion that we would be able to see any other landforms, lifeforms, ships, etc. ,but all of the above are absent.

In conclusion, there was not any life shown on the picture, so it's irrelavent that aliens created it. We visit our monments. Why were there no aliens visiting thiers? One answer, they didn't bulid it.",4,1618340000000.0,212,301,It's irrelavent because NASA would have a higher budget than we do now to explore further ,Claim,Claim 1,Adequate,,,,Indiana,Text dependent,"""Unmasking the Face on Mars""",The Face on Mars,"You have read the article 'Unmasking the Face on Mars.' Imagine you are a scientist at NASA discussing the Face with someone who thinks it was created by aliens. Using information in the article, write an argumentative essay to convince someone that the Face is just a natural landform.Be sure to include: claims to support your argument that the Face is a natural landform; evidence from the article to support your claims; an introduction, a body, and a conclusion to your argumentative essay.",M,8.0,No,Black/African American,Economically disadvantaged,Not identified as having disability,304
151543,AAAXMP138200002190642125_OR,7B12C9A10547,train,"Online Schooling

Technology as a whole has developed drastically over the last decade. Technology is such an amazing and useful part of things we do every day. One of the most life changing technological advancements that have been made, is online schooling or at home schooling. There are many positive things about online schooling and how it has helped shape our society today. At home schooling is a great option for many students because they can learn at their own pace, go to schools further away, and be sick less often.

The first reason that students should be given at home class opportunities is because they could learn at their own pace. Many students struggle with the fast pace school environment. For example, students are required to get to class on time, turn their work in on time, and even write down notes while keeping up with their teachers. On the other hand, some students think that the curriculum is too slow paced. Likewise, some students feel as though they are given too much time for assignments, too much time to get to class, or even too much time to take notes. Overall, students have different rates of learning, and the school curriculum doesn't always take that into consideration. Based on this evidence, it is logical to assume that at home schooling can allow students to learn at their own pace.

The second reason that students should be given at home class opportunities is because they could be given the chance to go to schools further away. Many students aren't able to go to a preferred school because they are too far away. Giving students an opportunities to take classes at home and online could allow them to enroll in classes at schools that they would rather go to. Also, a student might want to take a specific class that the nearest school might not offer. Furthermore, some students may already know what they want to do for a career and if so, they might need to take a specific class before starting that career. If the school they are attending does not have that class, the student could be held back from their fullest potential. It is obvious that at home schooling could allow students to attend and take classes at schools that are further away.

The final reason that students should be given at home class opportunities is because they would be sick less often. With less human contact, students wouldn't be sick as often and wouldn't come in contact with as many harmful illnesses. Also, even if the student were to get sick, he or she would still be able to attend school with out infecting their peers or teachers. This would, in return, allow students to continue their education while being sick without the fear of getting anyone else sick. This could also help to stop the spread of harmful diseases like chicken pox, measles, and other easily transmittable illnesses. Naturally, allowing students to take online classes can help them to be sick less often.

Many people say that students who don't have access to internet would be at a disadvantage. However, those students would still be able to attend a regular, tangible school or they could use guide books for each class. Having online classes would just be easier to attend for those who do have internet access at home. Since students would be able to work at their own pace, go to school further away, and be sick less often, at home schooling would be a great option for many students. Our youth would be very well educated if more schools started offering classes at home. Our society and future generations would be better developed as well. So please, speak to your school board members and propose the idea of at home classes at you local schools and make your community a better place. ",5,1621710000000.0,381,434,At home schooling is a great option for many students ,Position,Position 1,Adequate,,,,Virginia,Independent,,Distance learning,Some schools offer distance learning as an option for students to attend classes from home by way of online or video conferencing. Do you think students would benefit from being able to attend classes from home? Take a position on this issue. Support your response with reasons and examples.,F,11.0,No,White,Not economically disadvantaged,Not identified as having disability,645
51972,AAAVUP14319000115472,9FC90B9C6420,train,"I think that the author is suggesting that studying venus is worth a pursuit despite the dangers. because they can find different types of species and able to figure out if there is life/organism. And NASA is trying to figure out methonds on how the could have their equipment not damage or destroyed by how hot the temperature their is . And NASA might use silicon carbide for the projects for venus and NASA is going to use a old technology called a mechanical computers the deviced was made in the 1800s and was played a important role in 1940s in world war II.

But the device can caculate only using lever and gears. But the problem of modern technology it has it's pros and cons the pros is that it's powerful, flexible,and quick. and cons is that it's very delicate when it's in on extreme physical comditions.

NASA is going to send people to study venus but the surface might be to extreme for but the the scientist are going to foalt abpve ground like around 30 feet or more but the surface of venus is extremly hot like around 170 degress Fahreheit

(Now that hot) but Earth,venus,and mars are some what close to each other kinda like neighbors.

Venus has it's atomsphere very thick almost 97%of almost pure carbon dioxide blankets now thats a lot. it's challenging bevause the clouds have a high corrosive sulfuric acid in venus and the average temperature is around 800 degrees Faherheit! and the atmospheric to be more scientific the pressure around venus atmopshere is around 90 times greater thaat what we have on earth and the conditions on venus is far more extreme then any other human ever experience on our own planet.   ",2,1616680000000.0,97,195,because they can find different types of species and able to figure out if there is life/organism. ,Claim,Claim 1,Adequate,1616680000000.0,I think that the author is suggesting that studying venus is worth a pursuit despite the dangers,Position,Indiana,Text dependent,"""The Challenge of Exploring Venus""",Exploring Venus,"In ""The Challenge of Exploring Venus,"" the author suggests studying Venus is a worthy pursuit despite the dangers it presents. Using details from the article, write an essay evaluating how well the author supports this idea. Be sure to include: a claim that evaluates how well the author supports the idea that studying Venus is a worthy pursuit despite the dangers; an explanation of the evidence from the article that supports your claim; an introduction, a body, and a conclusion to your essay.",M,10.0,Yes,Hispanic/Latino,Economically disadvantaged,Identified as having disability,290
15926,5354275,D389CF071335,train,"Life has revolved around driving since the termination of World War II. In sources 1 and 4, the authors mention the population's inhabitants have greatly reduced or stopped car usage wholly voluntarily. While in sources 2 and 3, the cities have banned car usage on certain days. The advantages of limiting car usage include less pollution and increased accessability to the entire city.

Pollution is an large issue in todays world. According to Rosenthal in source 1, ""passenger cars are responsible for 12 percent of greenhouse gas emissions in Europe... and up to 50 percent in some car-intensive areas in the United States (P5)."" The use of cars has created smog in many large cities. The 2009 Olympics in Bejing required the city to reduce car usage in order to clear the air. Those participating and attending the event were in danger of harming their lungs. The citizens of Bejing has already been noted to wear respirators and other devices to filter the toxins from the air they breathe. In this extreme case, it was manditory to cut the usage of cars down. But in other cities, they have not reached this extreme and it can be easily prevented by limiting car usage. Duffer mentions the pollution in the skies of the global city of Paris has been noticably decreased(P19). In another scenario of pollution in the atmosphere, the city has taken initiative to ban cars depending on the number of their license plate. Without the emissions from the cars, the air would be clean to breath and a better sight as well.

The new generation has grown up with cars yet when the time comes to obtain a license, they forgo the oppurtunity. Selsky says that without cars, the city's parks and sports centers have been heavily visited. The pedestrian walkways and shopping centers have also came in large numbers(P28). Due to the abandonment of cars, upscale commerce and new restaurants were constructed. Rather than a large mall near some interstate or other large roadway, shopping districts have transformed into locations in which are near public transportation or in walking distance. Rosenthal shares an anecdote that outlines that public transportation, car-pooling, and even walking have replaced the car for himself and his children(P40). Public transit is not viewed down upon anymore, it is a smarter way of getting from one place to another. Car-pooling isn't a desprete call, it is a resource that has become essential and benificial to both parties. A combination of car-pooling, walking, and public transit makes the city much easier to access and explore.

The development of cities is no longer based on cars. It is now be based upon the access it will give to those without cars. Limiting the use of cars makes the city improved in many ways. Clean air and more efficient ways of transportation highlights that cars are no longer needed and limiting car usage will have even more advantages in the future.    ",5,1622480000000.0,279,315,The advantages of limiting car usage ,Position,Position 1,Adequate,,,,Florida,Text dependent,"Source 1: ""In German Suburb, Life Goes On Without Cars,"" by Elisabeth Rosenthal 
 Source 2: ""Paris bans driving due to smog,"" by Robert Duffer 
 Source 3: ""Car-free day is spinning into a big hit in Bogota,"" by Andrew Selsky 
 Source 4: ""The end of car culture,"" by Elisabeth Rosenthal",Car-free cities,Write an explanatory essay to inform fellow citizens about the advantages of limiting car usage. Your essay must be based on ideas and information that can be found in the passage set. Manage your time carefully so that you can read the passages; plan your response; write your response; and revise and edit your response. Be sure to use evidence from multiple sources; and avoid overly relying on one source. Your response should be in the form of a multiparagraph essay. Write your essay in the space provided.,M,10.0,No,White,,,494
66843,AAAOPP13416000110182,3ED58343E367,train,"Do you think the Face on Mars is real? The Face on Mars is not real because it's a natural form. If there was something that made this, they would leave tracks. But there's nothing.

The Face on Mars is not real because it's a natural form. Scientist says it's a ""mesa."" Which is common in Mars in Cydonia. It also said that NASA said ""a huge rock formation which forms a head, eyes, nose, and a mouth."" So everything is made out of bunch of rocks. Michel Malin and his Orbiter snapped the picture ten time bigger than the original picture in 1998. So then it revealed a "" natural landform."" Theres nothing special about. It's was just land. Later on, Malin's team did a second picture but bigger in 2001. Gavin said there were other objects like shack, airplanes, pyramids, etc. They were all made natural. Also, in Earth, there are many landfroms that looks like things. Like Middle Butte in the Snake River. And it is almost the same size as the Face on Mars.

Just because it's on Mars doesn't mean it made by aliens. It's made out of natural. Sometimes strange objects appear around the Earth. Thats because it's normal to the us and enviroment. It's just a natural form. Its just the lack of conspiracy theorist.   ",3,1617940000000.0,182,239,The Face on Mars is not real because it's a natural form. ,Claim,Claim 2,Adequate,1617940000000.0,The Face on Mars is not real because it's a natural form.,Position,Indiana,Text dependent,"""Unmasking the Face on Mars""",The Face on Mars,"You have read the article 'Unmasking the Face on Mars.' Imagine you are a scientist at NASA discussing the Face with someone who thinks it was created by aliens. Using information in the article, write an argumentative essay to convince someone that the Face is just a natural landform.Be sure to include: claims to support your argument that the Face is a natural landform; evidence from the article to support your claims; an introduction, a body, and a conclusion to your argumentative essay.",F,8.0,No,Hispanic/Latino,Economically disadvantaged,Not identified as having disability,223
122088,5150111,0F126F8454F4,train,"Dear state senator,

I think the voting should be based off of the most popular vote. When we go to vote all we're voting for is electors to vote for the president they choose. In my opinion the people of the United States of america should get a saying in who they want as president. If the voting was based off of the most popular vote, it would be fair to everyone.

For example in 2000 when Al gore recieved more individual votes then George W. Bush and Bush one ,that was unfair because more poeple wanted Al Gore as their president rather than George W. Bush. The president is going to be ALL the people in the United States president, not just those 29 electoral voters president. In 2012 Obama won the election because of the 61.7 percent of the electoral votes not by individual votes. If the voting wasn't based off of the electoral votes than maybe the united states wouldn't be so much in debt and have so many people not wanting Obama as our president. Maybe Romney would have been a better president and have took the U.S out of so much debt. After all, 53.1 percent of individual voters voted for Romney.

Romney's chances of winning by electoral college were thin because since he was in the south he had no incentive to campaign heavily in those south states. Many voters don't vote because they know their vote won't matter at all when it comes to voting for  the president of their choosing. If 35 million people vote in California, it would only count as 55 representatives. Is their really a point of them voting? no point at all.

In conclusion, if you really want a fair win for the president ,the president should be chosen by the people , not the electoral college. When i'm old enough to vote i hope it will be based off of who the poeple want as their prestident not the electoral college.

Sincerely, a student who's parents voted for Romney.    ",4,1615610000000.0,1275,1407,Many voters don't vote because they know their vote won't matter at all when it comes to voting for  the president of their choosing ,Claim,Claim 2,Adequate,1615610000000.0,I think the voting should be based off of the most popular vote,Position,Florida,Text dependent,"Source 1: ""What is the Electoral College?"", by the Office of the Federal Register 
 Source 2: ""The Indefensible Electoral College: Why even the best-laid defenses of the system are wrong,"" by Bradford Plumer 
 Source 3: ""In Defense of the Electoral College: Five reasons to keep our despised method of choosing the President,"" by Judge Richard A. Posner",Does the electoral college work?,Write a letter to your state senator in which you argue in favor of keeping the Electoral College or changing to election by popular vote for the president of the United States. Use the information from the texts in your essay. Manage your time carefully so that you can read the passages; plan your response; write your response; and revise and edit your response. Be sure to include a claim; address counterclaims; use evidence from multiple sources; and avoid overly relying on one source. Your response should be in the form of a multiparagraph essay. Write your response in the space provided.,F,9.0,No,Hispanic/Latino,,,341
103982,AAAOPP13416000219390,87B935C8336C,train,"It would be a good idea to buy a driverless car. It's a great way to reduse accidents.

When drivers get tired they can just let the car drive itself.

There would be less pollution.

We wouldn't use as much fuel which mean we'll waste less on fuel.

If Google has made driverless cars since 2009, I see no reason to stop or not aloud to use driverless cars.

If, we can use the technology to make better, smarter, and safer cars why not make them?

General Motors created a concept car in the late 1950s, that could do special trest tracks.

It all started with a concept car.

We've become smarter as well and they'll find ways to creat a perfect driverless car before 2020.

"" Why would anyone want a driverless car that still needs a driver?"", ""Wouldn't drivers get bored waiting for their turn to drive?"", Pargraph eight.

People will still want a car that they can still control at anygiven moment.

Drivers might get bored but at least they know they are save.

The driver doesn't have to stare at the rode avery second.

They can do other things while the driverless car is driving itself.

If the driverless car needs the person to drive it will notifly the driver.

As for the laws that focus on keeping drivers, and anyone in the car safe.

I get those laws are made to keep people safe.

Once it shown that driverless car are safe you should make it legal to drive them.

Or should I say let them drive us.?

"" If the technology fails and someone is injured, who is at fault--the driver or the manufacturer?"" Pargraph nine.

It would be the both of their fault fault. The driver of buying and or maybe not paying attention.

The manufacture for not make the car right.

It all depends on what happened in the Accident.

You can also make the person who buys the driverless car to sign an agreement.

That says if a accident were to happen that it wouldn't be the manufacturers fault.

He or She will take all responsiblity for what happens in the accident.

All in all this is a very difficult argument.

You can go eithre way.  ",4,1620940000000.0,249,356,"If Google has made driverless cars since 2009, I see no reason to stop or not aloud to use driverless cars. ",Claim,Claim 2,Adequate,1620940000000.0,"It would be a good idea to buy a driverless car. It's a great way to reduse accidents.

When drivers get tired they can just let the car drive itself.",Position,Indiana,Text dependent,"""Driverless Cars are Coming""",Driverless cars,"In the article “Driverless Cars are Coming,” the author presents both positive and negative aspects of driverless cars. Using details from the article, create an argument for or against the development of these cars.  Be sure to include: your position on driverless cars; appropriate details from the article that support your position; an introduction, a body, and a conclusion to your argumentative essay.",F,10.0,Yes,Hispanic/Latino,Economically disadvantaged,Not identified as having disability,350
118835,5354454,297F3F4B6B58,train,"The Electoral College shows many reasons why we should change it to popular vote. Like for instance The Electoral college is not fair, but by voting with popular vote not only will more people vote but more people will vote for who they want to vote and not get confused and vote for the wrong candidate.

Theres many reasons why the Electoral College isnt fair like, how Bradford Plumer stated during the 2000 campaign a variety of states that didnt vote because of not being able to see a campaign ad and they did that because some candidates dont focus on the states that they know theyre not gonna win. But by voting with popular vote you get to vote for who you want, everone gets to vote because every state would be equal and people would vote for the president and not for the slate of electors.

yes, maybe the Electoral College could be good for something for like winning. Also if you think about it, it could be worse like even worse than the 2000 fiasco election, and plus the Electoral College avoids run-off elections so thats a good thing if you want a clear winner.

Other than that popular vote is much more sufficient than Electoral vote because its much more fair and with popular vote everyone votes on who they want to vote and every state gets the same, equal treatment as the others.    ",2,1614630000000.0,881,972,"Also if you think about it, it could be worse like even worse than the 2000 fiasco election ",Evidence,Evidence 3,Ineffective,1614630000000.0,"yes, maybe the Electoral College could be good for something for like winning",Counterclaim,Florida,Text dependent,"Source 1: ""What is the Electoral College?"", by the Office of the Federal Register 
 Source 2: ""The Indefensible Electoral College: Why even the best-laid defenses of the system are wrong,"" by Bradford Plumer 
 Source 3: ""In Defense of the Electoral College: Five reasons to keep our despised method of choosing the President,"" by Judge Richard A. Posner",Does the electoral college work?,Write a letter to your state senator in which you argue in favor of keeping the Electoral College or changing to election by popular vote for the president of the United States. Use the information from the texts in your essay. Manage your time carefully so that you can read the passages; plan your response; write your response; and revise and edit your response. Be sure to include a claim; address counterclaims; use evidence from multiple sources; and avoid overly relying on one source. Your response should be in the form of a multiparagraph essay. Write your response in the space provided.,F,9.0,No,Hispanic/Latino,,,239
77316,2081003441,8A4E9D1BB2B2,train,"TEACHER_NAME:

I believe that every student should have to perform some type of community service because we should all give back to the community in one way or another or another, even if its just helping someone in their yard or going to a nursing home and sitting with the elderly just for them to have company.

We should perform community service so we can be prepared and ready for the world of work.

It would also be a good experience for us to help out in the community just to see what is going on in and around the community.

Community service would be a great idea because we could learn a lot about the people in our community and get to know them in a friendly and personal way.

It may take up lot of our spare time but I believe that it is worth it.

Community service is a great service to have on any applications for college and even when we are searching for a job after college.

Most businesses now hire workers that have experience and who have done community service. Also, we would become well respected and trusted if we have helped out and donated our time to help out around and in the community.

Helping out in the community would be a great thing for students who want to go to college and who want to achieve a decent , nice paying job in the future.

Also, it is good to start students this young helping out in the community because they will turn out to be well respected young adults in the future.",2,1615340000000.0,0,14,"TEACHER_NAME:

",Unannotated,Unannotated 1,,,,,NCES,Independent,,Community service,"Some of your friends perform community service. For example, some tutor elementary school children and others clean up litter. They think helping the community is very important. But other friends of yours think community service takes too much time away from what they need or want to do. 
Your principal is deciding whether to require all students to perform community service. 
Write a letter to your principal in which you take a position on whether students should be required to perform community service. Support your position with examples.",F,8.0,No,White,Economically disadvantaged,Not identified as having disability,262
39792,AAAXMP138200000672222850_OR,89E1CF43B214,train,"I agree with kids having to do one extracurricular activity,because it gets a lot more students involved in the community. It can also lead to kids living a healthy lifestyle. There could be a potential basketball player that does not know what he is capable of and he could find it through sports. When they work in the yearbook they can find someone who is new to the school and make them feel welcomed. They can find things they never knew that they liked. This can lead to a better school and community.

When a student is forced to do something first they don't like it but then it can lead to many different things in the future. For example, you don't know if you like something until you try it. It is the same way with sports. What if there is a kid that plays basketball for fun but he does not want to try out. Now he can try out and if he really likes it he can furthermore better his skills at it. What if because he had to do the bare minimum of one activity he gets many scholarships in high school and goes to the NBA. Just because of that one activity.

Students have a tuff time fitting in sometimes and it can help by doing extracurricular activities. For example, both students both like taking pictures but they don't think anything of it. They both join the yearbook program which takes pictures of students and faculty. Then they meet and then they become good friends. Just because of that one activity that they had to do. They become a wedding photographers.

Let's say a student wants to become a governor and they see student council and they join it. Now when they join they become president of the school. This program would teach them how to listen to the school and make fundraisers and help the school out. This program might make them want to go in depth in their career choice and make them want to join in high school because they enjoyed it so much. Just because they did the bare minimum of one choice. They become the governor of Virginia.

Students may not like being forced to do things. They choose to work for it though. Being asked to participate in one activity may seem cruel or not nice enough. But it opens doors to many things in life to different things. Just because they did the bare minimum of one choice.           ",4,1615810000000.0,68,122, it gets a lot more students involved in the community ,Claim,Claim 1,Adequate,1615810000000.0,I agree with kids having to do one extracurricular activity,Position,Virginia,Independent,,Mandatory extracurricular activities,"Your principal has decided that all students must participate in at least one extracurricular activity. For example, students could participate in sports, work on the yearbook, or serve on the student council. Do you agree or disagree with this decision? Use specific details and examples to convince others to support your position. ",M,8.0,No,Black/African American,Economically disadvantaged,Not identified as having disability,420
161768,AAAXMP138200002211952810_OR,97FF9200A33D,train,"Have you ever wondered why somebody might ask you for directions and then walk away and ask somebody else? If you have then don't take offense to it. They only want to make sure they get the right answer. People ask more than one person because someone might not know the answer, one answer might be false, and someone may lie.

First, the person might not know the answer. If a traveler asks you for directions to the interstate and you don't know how to get there, then he or she has to go to another person and ask them. The person that the traveler goes to next for directions after you might not know so the traveler just keeps going. If you don't know the answer tell the traveler that you don't know so they don't get mad at you for giving the wrong information. Therefore, tell the traveler that you don't know the answer.

Secondly, somebody's statement might be false. If somebody's statement is false then you have to ask another person. If somebody says something false and you believe them then you might regret not asking another person. Don't believe anybody unless you have confirmed it with multiple people you trust. Therefore, always see if the person's statement is true or false.

Finally, somebody you ask might lie to you. Even though somebody might really help you and you don't listen to them, still check around. If somebody does lie to you then you can figure it out by asking around. If you do ask multiple people then it doesn't matter if one of them lied. Therefore, make sure nobody is lying to you.

In conclusion, if you or your friend is asking somebody about directions or anything else make sure you ask a couple of people. Remember these things, someone might not know the answer, one answer might be false, and someone may lie. If you need to check and make sure that the statements are true before asking another person the same question. Make sure that you ask advice or directions from people you trust and ask more than one person.",4,1617980000000.0,237,244,because ,Unannotated,Unannotated 1,,,,,Virginia,Independent,,Seeking multiple opinions,"When people ask for advice, they sometimes talk to more than one person. Explain why seeking multiple opinions can help someone make a better choice. Use specific details and examples in your response.",M,8.0,No,White,Economically disadvantaged,Not identified as having disability,351
77723,2241006497,47D025408E0F,train,"Dear TEACHER_NAME,

There are many things that can benefit from community service, there are also many things that can not be beneficial. One of the things that can benefit from community service is responsibility. The reason i choose this as a beneficial reasoning is because many kids need respect now days. Another reason would be to learn how to handle things outside home and school, but also learn how to handle things at home and in school. There are also bad things that aren't beneficial from community service. This is because some kids need time to focus on school priorities as well. For example, say you had an essay paper to do but you had to do community service but you don't finish later. By then you would have forgotten about the paper and you would have also been tired. so there is no good outcome from community service as much as there is a beneficial outcome.

sincerely, STUDENT_NAME",2,1615220000000.0,20,137,"There are many things that can benefit from community service, there are also many things that can not be beneficial. ",Position,Position 1,Ineffective,,,,NCES,Independent,,Community service,"Some of your friends perform community service. For example, some tutor elementary school children and others clean up litter. They think helping the community is very important. But other friends of yours think community service takes too much time away from what they need or want to do. 
Your principal is deciding whether to require all students to perform community service. 
Write a letter to your principal in which you take a position on whether students should be required to perform community service. Support your position with examples.",M,8.0,No,White,Economically disadvantaged,Not identified as having disability,157
