text,label,language,text_len,emo_label,pos,neg,neu,compound
 A piece of candy.,1.0,English,4,1,0.0,0.0,1.0,0.0
 They about to cook that mf 😂,1.75,English,7,1,0.0,0.0,1.0,0.0
      Thank you to Archana and ,1.0,English,5,0,0.385,0.0,0.615,0.3612
 I can surely make your banner DM me,2.25,English,8,0,0.326,0.0,0.674,0.4404
     Either of your tournament winners 👌,1.0,English,6,0,0.437,0.0,0.563,0.4767
  Marijuana is not a performance enhancing drug. Unless you're competing for the gold in snack eating.,1.0,English,16,1,0.0,0.0,1.0,0.0
 g une update,1.0,English,3,1,0.0,0.0,1.0,0.0
 Beyoncé is overrated,1.2,English,3,1,0.0,0.0,1.0,0.0
 He was in coma these two years Hahahaha #BringMehrabBack,1.6,English,9,1,0.0,0.0,1.0,0.0
  your pretty,2.8,English,2,0,0.762,0.0,0.238,0.4939
he wants to have a partyyy 😭😭😭😭,2.0,English,7,1,0.0,0.0,1.0,0.0
"But, I’m truly lucky that you always be there for me in a certain time. People come and go, right? :D",3.0,English,21,0,0.496,0.0,0.504,0.9497
tbh i think i like orange juice more than apple juice now,1.2,English,12,0,0.217,0.0,0.783,0.3612
Boys make such cute girls ,2.0,English,5,0,0.429,0.0,0.571,0.4588
This man of God gets it. ,2.0,English,6,0,0.296,0.0,0.704,0.2732
" nova, loaded, chiz curls !",2.0,English,5,1,0.0,0.0,1.0,0.0
  I concur 🤣🤣🤣,1.0,English,3,1,0.0,0.0,1.0,0.0
 yasss bestie I've been streaming 24/7 na hahaha manifesting bts to come here in the pH 🥲🙏💕,3.0,English,17,0,0.184,0.0,0.816,0.5574
Eat her out dick her down cuddle up,5.0,English,8,2,0.0,0.32,0.68,-0.5106
Vote for  Cold as your Track of the Week.  ,1.25,English,9,1,0.0,0.0,1.0,0.0
 thanks for the follow,1.25,English,4,0,0.492,0.0,0.508,0.4404
   I can make it 20k,1.6,English,5,1,0.0,0.0,1.0,0.0
future fighter is ygo's best opnening becase it's sung by onoken and hosoya and honestly no one can reach their level,1.4,English,21,0,0.352,0.078,0.569,0.7717
Check out my latest #podcast  on #Podbean,1.4,English,7,1,0.0,0.0,1.0,0.0
Lrt honestly tho. They be having Earth-20493 or sumn.,1.8,English,9,0,0.273,0.0,0.727,0.4588
My bed is covered in sexualized paraffin,3.2,English,7,1,0.0,0.0,1.0,0.0
 How exciting.,1.0,English,2,0,0.762,0.0,0.238,0.4939
It’s my first birthday away from home and I’m low key sad,2.6,English,12,2,0.0,0.342,0.658,-0.6369
 Spring day I vote for #BTS  for #BestDuoGroupOfTheYear at the #iHeartAwards,1.0,English,11,1,0.0,0.0,1.0,0.0
If a bird shits on ur window that good luck right??,1.2,English,11,0,0.383,0.189,0.428,0.4871
 Have you ever ate a wax cube? It’s kinda like that. But more crumbly and somehow sadder,1.2,English,17,2,0.079,0.228,0.693,-0.6119
 i was trying to procrastinate by going on twitter but i ended up studying too 😭😭,2.4,English,16,1,0.0,0.0,1.0,0.0
 Lol very cute for vaca to match 💅🏽 I only did white like twice 😫🤣 only to match my set.,2.0,English,20,0,0.349,0.0,0.651,0.8221
  now is not the time...,2.0,English,5,1,0.0,0.0,1.0,0.0
    This is a great version as well - ,1.4,English,8,0,0.608,0.0,0.392,0.7351
I can do so much for you,3.25,English,7,1,0.0,0.0,1.0,0.0
Three years ago Dying Wish played our first show with  and became a five piece band ,1.8,English,16,0,0.282,0.0,0.718,0.6249
  You have just said your grandchild had a cold how did he have covid? That doesn't mean kids can get it,1.6,English,21,1,0.0,0.0,1.0,0.0
 I’d rather have a bathroom sink instead,1.0,English,7,1,0.0,0.0,1.0,0.0
 okay wait,1.3333333333333333,English,2,0,0.655,0.0,0.345,0.2263
 Of course. Tell me anything.,2.5,English,5,1,0.0,0.0,1.0,0.0
 That's totally racist. Immigration rules don't apply!,1.75,English,7,2,0.0,0.433,0.567,-0.6793
  It shows your parents standard and your locality..from where you belongs!!,2.0,English,11,1,0.0,0.0,1.0,0.0
   I have uploaded the picture of the meme for you,1.2,English,10,1,0.0,0.0,1.0,0.0
 guess it worked,1.2,English,3,1,0.0,0.0,1.0,0.0
I don't see how people can be so nasty. #Hoarders,1.6,English,10,2,0.0,0.366,0.634,-0.6825
Dike shouldn’t be in MLS at all,2.2,English,7,1,0.0,0.0,1.0,0.0
trying to be better everyday.,2.0,English,5,0,0.42,0.0,0.58,0.4404
 what's stopping u ,2.0,English,3,2,0.0,0.615,0.385,-0.1531
my problem is i always decide to have a private concert when im listening to music while “writing” instead of doing any actual writing,1.25,English,24,2,0.0,0.114,0.886,-0.4019
"Chromatica, Koatica and Galactica in the same room to see who is the first one born on this galaxy ... ",1.2,English,20,1,0.0,0.0,1.0,0.0
 #CriticalThinking skills desperately needed.,1.4,English,4,2,0.0,0.464,0.536,-0.3818
Do you ever have the urge to look at Reggie hentai?,3.0,English,11,1,0.0,0.0,1.0,0.0
utah people decide they want to be motivational speakers with no training or therapy or education whatsoever and it’s so weird,2.2,English,21,2,0.055,0.187,0.758,-0.4838
  Yes no problem,2.2,English,3,2,0.355,0.645,0.0,-0.296
normalize acting like iz*one didn't disband,1.25,English,6,0,0.333,0.0,0.667,0.3612
im an obnoxious and weird but people still love me. if your friends dont like you because you're obnoxious and weird: get better friends,2.2,English,24,0,0.399,0.268,0.333,0.8716
 hey bast thnx for giving me the first stepping stones to realising how flawed christianity was before i left it,1.8,English,20,0,0.118,0.0,0.882,0.34
 Good morning. ,2.0,English,2,0,0.744,0.0,0.256,0.4404
have a good night,3.25,English,4,0,0.592,0.0,0.408,0.4404
 Big erse that 😜😜🤣,2.5,English,4,1,0.0,0.0,1.0,0.0
what's good yow,1.0,English,3,0,0.592,0.0,0.408,0.4404
The “fuck that job” spirit heavy in this house today 😩,2.0,English,11,0,0.159,0.0,0.841,0.1779
 Bartman made everything smooth and easy! Would sell to him again :-) LEGIT!,2.4,English,13,0,0.345,0.0,0.655,0.6988
I vote for cardigan by taylor swift for the Best Lyrics award #cardigan #BestLyrics #iHeartAwards the 1,1.2,English,17,0,0.442,0.0,0.558,0.8591
Istg this thing has crack in it ,1.25,English,7,1,0.0,0.0,1.0,0.0
Earning money by #buyingcars and #sellingcars is not exclusive to a car salesman only. #CarBusiness -- ,1.0,English,16,2,0.0,0.089,0.911,-0.0951
Do I want to go to Waikiki with the girls or stay home..I’m going to stay home 😅,2.2,English,18,0,0.08,0.0,0.92,0.0772
" 13. madami but ill give a few...people leaving me, not reaching my own expectations and people hating me...",1.8,English,18,2,0.0,0.418,0.582,-0.8761
 So who was it then ,1.3333333333333333,English,5,1,0.0,0.0,1.0,0.0
I want a man that’s just orgasmic and just understand me and even if he don’t still respects me and loves it all like MMM.,3.25,English,25,0,0.34,0.0,0.66,0.8316
 Keep driving but i slow down lol,1.6,English,7,0,0.425,0.0,0.575,0.5719
He want my number had to hit him wit that “mmm mmm” ,3.2,English,12,0,0.206,0.0,0.794,0.1531
 Happy Birthday!!!! Long live ♊ Mine is June 15th!,1.8,English,9,0,0.41,0.0,0.59,0.7067
"I hate my brother! He just booked his vaccine and isn’t telling me how I can, he is literally the definition of gatekeeper",2.8,English,23,2,0.0,0.166,0.834,-0.6114
 Isn’t that the team that had a YouTube series after it,1.8,English,11,1,0.0,0.0,1.0,0.0
yooo why is it quiet today🤨🤨,1.2,English,6,1,0.0,0.0,1.0,0.0
" good morning o, come, are you not a Muslim?",2.75,English,9,0,0.293,0.0,0.707,0.4404
Hung. (Over.),1.5,English,2,1,0.0,0.0,1.0,0.0
When they don't give me the sippy lids at starbucks I almost return the whole drink,1.4,English,16,1,0.0,0.0,1.0,0.0
 I can sense him through my aquarius powers as well,1.2,English,10,0,0.208,0.0,0.792,0.2732
 the pretty reckless. but the rest of the band is men so...,1.75,English,12,0,0.151,0.133,0.717,0.0644
 I thought it was an AC DC day for you?😜😜😜,3.25,English,10,1,0.0,0.0,1.0,0.0
"  wow, nice projects, let's go join 🔥    $SANA #Airdrop",1.0,English,9,0,0.638,0.0,0.362,0.8316
 Dems supported Antifa did it,1.4,English,5,0,0.365,0.0,0.635,0.3182
ـ Life is too short don't spend it with people who don't make you happy .🕊 ,2.2,English,16,2,0.0,0.176,0.824,-0.4585
"  You have been busy this week, Wendy.",1.6,English,7,1,0.0,0.0,1.0,0.0
  I was worried it was a broken jar and he swallowed glass.,2.0,English,12,2,0.0,0.398,0.602,-0.6486
The lyrics on genius to makeup drawer are wrong it’s “and i know where you’ve been... and you know where i’ve been”,1.0,English,22,2,0.0,0.134,0.866,-0.4767
tired of sleeping all day long but still wanting to go to sleep,1.75,English,13,2,0.0,0.14,0.86,-0.2382
It's just me or my dick gets bigger every week? 🙊🍆🤔😳🥺🤯 ,3.8,English,11,2,0.0,0.248,0.752,-0.5106
Ofc the RM Band are the best (waiting for grief from ,1.6,English,11,0,0.256,0.195,0.549,0.25
One thing about Cardi B she knows how to deliver a fire song and a fire feature that never sound the same,1.4,English,22,2,0.0,0.22,0.78,-0.5859
Intimacy is the name of the game as the Moon travels through y... More for Aquarius ,2.2,English,16,1,0.0,0.0,1.0,0.0
The Strom is coming #Nation_wants_Behan_Ji,1.0,English,5,1,0.0,0.0,1.0,0.0
 GRRRR,1.0,English,1,1,0.0,0.0,1.0,0.0
We should call him #OXYGEN_MAN  RT if agree ,1.6,English,8,0,0.263,0.0,0.737,0.3612
 Add me to your timeline‼️,3.6666666666666665,English,5,1,0.0,0.0,1.0,0.0
   she's just joking HELP 😭,1.8,English,5,0,0.727,0.0,0.273,0.6523
   Great stuff as always!,1.6,English,4,0,0.594,0.0,0.406,0.6588
" i know this can be a big lie, just for the part of ""Coco as an Echo fighter in smash"".",1.75,English,20,0,0.086,0.0,0.914,0.1531
" happy, bubbly jpop 🥺",1.5,English,4,0,0.649,0.0,0.351,0.5719
have no idea how to face u 🥲,1.5,English,8,2,0.0,0.306,0.694,-0.296
I just can’t have sex with just anyone lol ppl are wild,4.0,English,12,0,0.219,0.0,0.781,0.4215
  I can't believe you don't value family,3.0,English,7,2,0.0,0.289,0.711,-0.2584
I'm voting for  for #BBMAsTopSocial. RT to vote too! ,1.4,English,9,1,0.0,0.0,1.0,0.0
  you're too kind. thank you!!! ^^,1.8,English,6,0,0.629,0.0,0.371,0.7767
  🥺🥺.. my home.. is astro yes,1.6666666666666667,English,6,0,0.351,0.0,0.649,0.4019
 Thanks for alerting me to these fabulous oat bars!,1.2,English,9,0,0.485,0.0,0.515,0.7644
"After we are done, she took a pen and marked my name! Inamaanisha?🤔🤔🤔🤔🤔",1.6,English,13,1,0.0,0.0,1.0,0.0
 ofc but focus on anyone way more,2.0,English,7,1,0.0,0.0,1.0,0.0
Two own goals 😂,1.2,English,4,1,0.0,0.0,1.0,0.0
"  Did I hurt your ethno-obsessed feelings? We're ALL humans, stop with your dangerous role play.",1.25,English,15,2,0.114,0.412,0.474,-0.743
" My thoughts are with you and your loved ones, may she RIP",2.75,English,12,0,0.262,0.0,0.738,0.5994
dare i say gods menu was the most impactful kpop release last year,1.0,English,13,1,0.0,0.0,1.0,0.0
 That's quite high in comparison to last week isn't it?,1.8,English,10,1,0.0,0.0,1.0,0.0
  its glorious 🔥🔥,3.6,English,3,0,0.677,0.0,0.323,0.6369
" ""WAH!!! I gotta go see if my bro is okay!"" *runs to Mario's house*",2.0,English,14,1,0.0,0.0,1.0,0.0
"i’ll be yours through all the years, till the end of time. #MewSuppasit  #MyCandyHeroxMew",4.0,English,14,1,0.0,0.0,1.0,0.0
I wish only Capricorns could see my posts cause a lot of y’all are so annoying. Idk how big accounts do it.,2.4,English,22,2,0.109,0.208,0.684,-0.3548
 Would you like to talk about it babe,3.2,English,8,0,0.263,0.0,0.737,0.3612
 You'll never get my sweet blue studs,1.8,English,7,2,0.0,0.292,0.708,-0.357
It is good.,1.0,English,3,0,0.592,0.0,0.408,0.4404
if comfort was a person it would be namjoon,2.2,English,9,0,0.263,0.0,0.737,0.3612
 have a nice dayy !!,1.0,English,5,0,0.53,0.0,0.47,0.5242
 Can I have you lol,3.5,English,5,0,0.483,0.0,0.517,0.4215
 dood seriously 🥲,1.2,English,3,2,0.0,0.63,0.37,-0.1779
YES I AM,2.5,English,3,0,0.73,0.0,0.27,0.4019
" I like LN, JR and GB!",1.5,English,6,0,0.411,0.0,0.589,0.4199
i jus wish my ass was fat snd my stomach was flat 🙄,3.333333333333333,English,13,2,0.178,0.23,0.592,-0.2023
 Exactly. Fools will come back again later when the prices are back to normal and buy the peak instead. 🤦🏽‍♂️,1.8,English,20,2,0.0,0.144,0.856,-0.4939
" if scaramouche wants to corrupt me, i think he should go ahead !!",2.4,English,13,1,0.0,0.0,1.0,0.0
" same, except for the classical music, and also the crusades",1.0,English,10,1,0.0,0.0,1.0,0.0
  😞,1.25,English,1,1,0.0,0.0,0.0,0.0
 The wall running/jumping is certainly tricky in places 🙈,1.6,English,9,0,0.24,0.16,0.6,0.2023
Congrats to Maddie Sampson-Brown of  on your commitment to ,2.333333333333333,English,9,0,0.462,0.0,0.538,0.7184
Imagine thinking $15 is too much for a tribute 🤣🤣🤣,1.6,English,10,1,0.0,0.0,1.0,0.0
 I know but it’s been raining like this for a good 3 weeks,2.0,English,13,0,0.47,0.0,0.53,0.7964
  Your beauty likes the ancient Egyptian pharaohs,3.2,English,7,0,0.569,0.0,0.431,0.765
 i love u sm 🥺🥺🥺,2.75,English,5,0,0.677,0.0,0.323,0.6369
 what does that imply,1.25,English,4,1,0.0,0.0,1.0,0.0
  if i was u i wouldn’t want anyone to see this mr vi,1.75,English,13,0,0.126,0.0,0.874,0.0772
"that every tayriana stan is biased argument is so dumb, the generalization is so strong",2.25,English,15,2,0.181,0.35,0.469,-0.45
Take your meds. Eat. Hydrate. I feel *marginally* better having done all three.,2.2,English,13,0,0.209,0.0,0.791,0.4404
A cookie shaped like Lancer's face. Maybe not a cookie.,2.2,English,10,0,0.263,0.0,0.737,0.3612
 No because what can a good person do about it? We just agreed it's run by the worst humans alive.,1.75,English,20,0,0.272,0.226,0.502,0.0772
"i just got the biggest heartache, finally, my ending has come",3.4,English,11,1,0.0,0.0,1.0,0.0
"Help, I am having a bias crisis. Now I don't know if the word 'bias' really exists of you stan TXT ",1.4,English,21,2,0.116,0.237,0.647,-0.4215
Horizon: Zero Dawn may leave PlayStation exclusivity for PC -  ,1.0,English,10,2,0.0,0.13,0.87,-0.0516
 The wonder save by Luis Suarez!,1.8,English,6,0,0.411,0.0,0.589,0.5411
 i was having a good day until i saw this tweet :( /lh,1.2,English,13,1,0.21,0.21,0.58,0.0
 you too! good night^^,2.8,English,4,0,0.516,0.0,0.484,0.4926
  You came into our mentions angry writing novels. Take your own advice and get lost LMAOOO,2.0,English,16,2,0.0,0.286,0.714,-0.6808
"He will be a Hall of Famer, and maybe the first with his rookie card showing him with a metal bat? 🤔 #ping ",1.0,English,23,1,0.0,0.0,1.0,0.0
"I’m going to keep a camera on him, and make a day in the life blog with this dude",3.5,English,19,1,0.0,0.0,1.0,0.0
"You and me, always forever We could stay alone together",3.8,English,10,2,0.0,0.182,0.818,-0.25
Return of the Fairies by NovaKaru ,1.0,English,6,1,0.0,0.0,1.0,0.0
Canelo broke that mans cheek 😭,2.2,English,6,2,0.0,0.412,0.588,-0.4215
"The Dutch maestro has revealed he talked to Barcelona for four weeks, but couldn't come to an agreement 🇳🇱 #LFC ",1.0,English,20,0,0.185,0.0,0.815,0.6486
" The advanced box scores were super informative, but I'm not even sure they exist anymore.",1.0,English,15,0,0.215,0.133,0.652,0.1298
 You think Clemson will come back?,2.0,English,6,1,0.0,0.0,1.0,0.0
" mateosaga and ghostedjay, at least some of the biggest",1.0,English,9,1,0.0,0.0,1.0,0.0
"Hey, these some of the best Cole records ever. Ever ever.",1.0,English,11,0,0.296,0.0,0.704,0.6369
  No if u can save up £50+ for a mouse u can do it for £200-£400,1.0,English,16,0,0.195,0.134,0.671,0.25
kırk sekiz i vote #Louies for #BestFanArmy at the #iHeartAwards,1.0,English,10,1,0.0,0.0,1.0,0.0
The book The Alchemist will always have a special place in my heart.,2.0,English,13,0,0.197,0.0,0.803,0.4019
I’m goin in right on time then leaving immediately on time lol,1.2,English,12,0,0.203,0.0,0.797,0.4215
I need to laugh...what should I watch?,1.6,English,7,1,0.0,0.0,1.0,0.0
 well yeah.,1.0,English,2,0,1.0,0.0,0.0,0.5106
 Cute!! ❤️❤️ enjoy!,2.0,English,3,0,0.876,0.0,0.124,0.795
Accountant (Dubai) ,1.0,English,2,1,0.0,0.0,1.0,0.0
Joe Biden is literally going to pay people to come to your house so you can tell them to go fuck themselves. Crazy times,1.6,English,24,2,0.0,0.258,0.742,-0.743
 This is why I urge people to stay home for this one. Let the Trumpanzees fight it out with the cops while we watch it on TV.,1.0,English,27,2,0.0,0.094,0.906,-0.3818
rt and reply ! I vote #BTSArmy for #BestFanArmy at #iHeartAwards ,1.6,English,11,1,0.0,0.0,1.0,0.0
You know I don’t just say things just to say things,3.0,English,11,1,0.0,0.0,1.0,0.0
 Jai Shree Ram🙏,1.0,English,3,1,0.0,0.0,1.0,0.0
  Hii team I have won on 100 mania but I have still not got my prize,1.0,English,16,2,0.131,0.198,0.67,-0.2966
  What happens when a WOMAN makes it on her own and not her fathers coat tail. Congratulations lady !!!,3.0,English,19,0,0.219,0.0,0.781,0.6981
What the fuck was that!!!,2.0,English,5,2,0.0,0.522,0.478,-0.6571
 it exploded,1.0,English,2,1,0.0,0.0,1.0,0.0
💖 So damn SEXY!!!! 💖💖💖💖💖💖💖💖💖💖  ,2.8,English,5,2,0.0,0.581,0.419,-0.6323
It's so fun to package your own stuff 🥺 Thank you for being my first ever orders!! ,1.0,English,17,0,0.323,0.0,0.677,0.7702
 Praying for you ❤️ ,1.6,English,4,0,0.455,0.0,0.545,0.3612
 well first time ever then,2.0,English,5,0,0.344,0.0,0.656,0.2732
instagram is full of stolen artwork and they don't even care,2.0,English,11,2,0.0,0.393,0.607,-0.703
 its still here for me??????,2.75,English,5,1,0.0,0.0,1.0,0.0
New research shows that most new research is just some bozo asking their mate to support some cock-eyed opinion.,1.0,English,19,0,0.13,0.0,0.87,0.4019
You can’t even be nice to a nigga without his dick getting hard ugh .. I really hate y’all,4.0,English,19,2,0.214,0.319,0.467,-0.4001
  This is not yt,1.0,English,4,1,0.0,0.0,1.0,0.0
"Hi, just want to let you know you’re invited to my 1Annual Party 🥳 Read the flyer for more information thank you. ",2.2,English,22,0,0.274,0.0,0.726,0.6983
"  this fellow teacher just did a spit-take, 🤣",2.0,English,8,1,0.0,0.0,1.0,0.0
why is making playlists the most therapeutic thing ever,1.6,English,9,1,0.0,0.0,1.0,0.0
 was the tl silent or was the tl silenced,2.0,English,9,1,0.0,0.0,1.0,0.0
Shelby Harris is so damn good,1.75,English,6,2,0.298,0.327,0.375,-0.0805
 Yip got the family plan!,2.2,English,5,1,0.0,0.0,1.0,0.0
If I ask you if you want me to come over and you say “if you want” ima go to the next nigga crib. It’s simple.,2.8,English,26,0,0.051,0.0,0.949,0.0772
Most expected movies to watch in theatre #Sooraraipotru #Valimai We miss #Sooraraipotru movie in theatre. ,1.2,English,15,2,0.0,0.103,0.897,-0.1531
"Look at him go! Panda cub Xiao Qi Ji goes rock climbing, gets cuddles from mama (VIDEO) ",1.25,English,17,1,0.0,0.0,1.0,0.0
" I think the real question you’re asking is, who bets any horse or trainer on earth at 5/2 in these fields",1.0,English,21,1,0.0,0.0,1.0,0.0
 ...Mike Trout coming back and surprising all of us by leading off to start this series????,1.0,English,16,0,0.169,0.0,0.831,0.4696
 [ - you bought him so m/be you should pick up his debt?],1.5,English,13,1,0.0,0.0,1.0,0.0
