,id,VAD,source,text,emotions,split,emotion_model,domain,labeled,annotation_procedure
20488,20488,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Good coming .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
20194,20194,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,what about his hair ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
98590,98590,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,that's interesting . Do you think they'd hire me ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
19448,19448,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,No way !,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
73829,73829,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,I'm pretty good . Thanks for asking .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
78102,78102,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"OK , Mr . Wang , here is your bill . The total amount is US $ 120 .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
126370,126370,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,FINALLY have a working (subbed!) copy of Pika?Nichi.   Heeeee.,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
121172,121172,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,"have to go meet tims entiiiiire family in an hour, this should be different.. finishing getting ready then wake ; feel like shit still","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 1, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
28456,28456,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Of course we need a home inspector.But we can hire an inspector on our own.And as for the legal problems , I have friends . They can help us .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
68842,68842,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,That's okay . Better late than never .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
14589,14589,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,I got the flu . I have a fever and a headache . Can I cancel my appointment ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
28505,28505,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"I'm not sure.But if you are only going to stay a year , I don't think Price Club is good to join.They have great deals occasionally.They are very good for people who like to buy new things all","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
145771,145771,"{'valence': None, 'arousal': None, 'dominance': None}",electoraltweets,Can't believe all the #Naked #Harry stories from #Vegas!!! #President #Obama was also in Vegas at the time (clothed),"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': 0, 'surprise': 1, 'love': None, 'noemo': 0, 'confusion': 0, 'anticipation': 0, 'shame': None, 'guilt': None}",,Ekman+ET,tweets,single,
147516,147516,"{'valence': None, 'arousal': None, 'dominance': None}",electoraltweets,"Romney is Anti-Union, Do you know we all would work for minimum wage and be forced to buy insurance on the Obama Care Plan!","{'joy': 0, 'anger': 1, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': 0, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': 0, 'anticipation': 0, 'shame': None, 'guilt': None}",,Ekman+ET,tweets,single,
138053,138053,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,i love twitter,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 1, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
64426,64426,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Yep ! And take it with me anywhere ! And the music is free !,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
78960,78960,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Could you give me a description of your case ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
128180,128180,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,dreaming &amp; thinking about my garden,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
105354,105354,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"In Taipei , you know , the company usually installs the things they sell.They don't charge extra .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
132243,132243,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,Rise and shine  Time to get prettifide.,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 1, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
106339,106339,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,I am going to die tomorrow night.  @emilazy should be here.,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
105515,105515,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Your monthly gross salary will increase by $ 500 .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
17868,17868,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Oh , come on , Ultraman !","{'joy': 0, 'anger': 1, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
26395,26395,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Of course . We ’ Ve got this style here that is very popular . Because it ’ s an open-toe shoe , you can wear it any time of the year . They look great on everyone .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
22959,22959,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,I'm not . I get a stomachache just thinking about it .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
24146,24146,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Let ’ s move out of here . This apartment is too small .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
63731,63731,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Well , it's not just the girl ’ s fault . It's also society's fault - magazines and ads that show - thin models all saying , It's in to be thin . It's hard for them not to listen .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
104784,104784,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,I would like to cancel a check .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
40302,40302,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Actually , I am learning that now . But it's too hard for me . You know the four tones and the stuff . It really freaks me out .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
135823,135823,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,havin friends over hangin out with christian tonight!!  gonna roast marshmellows and chocolate and cramcrackers.!?!?!,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
134410,134410,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@MayMclean BabyLove em homenagem ao Baby D,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 1, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
21100,21100,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Not yet , Mom . Why are you on such a cleanliness kick anyway ?","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
1759,1759,"{'valence': None, 'arousal': None, 'dominance': None}",grounded_emotions,@RepAdamSchiff @POTUS It's #Trump's way of trying to backslide on his original remark.,"{'joy': 1, 'anger': None, 'sadness': 0, 'disgust': None, 'fear': None, 'trust': None, 'surprise': None, 'love': None, 'noemo': None, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,HappySad,tweets,single,
9670,9670,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Wonderful ! I'll often come here for mountain climbing .,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
57719,57719,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,I ’ m sure you ’ ll enjoy the trip . China is such a beautiful country .,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
5321,5321,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Yeah . And would you like to mail it by air ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
68205,68205,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Sure thing . So , where are you flying in from ?","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
10653,10653,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Can you tell me more ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
123345,123345,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@vickytcobra ohhh wonder what happened?,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
28047,28047,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,how did that happen ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
91454,91454,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,You can write all his strengths in the recommendation letter .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
142218,142218,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@racemode lol.. who know the president could be a comedian?,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
82004,82004,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Oh , yes . It's on Wednesday morning . Sorry about that .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
25262,25262,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,This is the house I want to rent .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
148628,148628,"{'valence': None, 'arousal': None, 'dominance': None}",electoraltweets,"If it don't rain,tax for gas. Partly cloudy ,tax for gas. Obama tweeted, tax for gas. Mexican win the lottery,tax for gas. Any reason SMh","{'joy': 0, 'anger': 1, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': 0, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': 0, 'anticipation': 0, 'shame': None, 'guilt': None}",,Ekman+ET,tweets,single,
137886,137886,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,happy mother's day!!!,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 1, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
132045,132045,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,"@reemerband wooooo the tour has started yay, 13 days  have an awesome time! loved the video xD","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 1, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
72338,72338,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"what did you put in that punch ? It tasted great , but was quite strong .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
19000,19000,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,That is what I am looking for . Could I go to see the house tomorrow afternoon ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
34736,34736,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,I hope so .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
104092,104092,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,That's true . Is everything alright with my documents ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
14778,14778,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,It's not really all that good . The bedroom is a little small for us .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
4527,4527,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"I know how you feel . I had a similar problem with a landlord a few years ago . Fortunately , the one we have now is very nice .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
50728,50728,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,True ? The food is terrible .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 1, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
86909,86909,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,But I have my own car and my own house .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
100627,100627,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"You do , I'm afraid . There are 3 ways to do this . You can choose , mortgage , pledge or guarantee mode .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
125360,125360,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,"i know i have lots of comments to return but i have been really busy  i'll get round to it guys, sorry","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 1, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
144856,144856,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@robinmatthewfry thats great I'll make sure I get a copy,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
